No,brand,convenience,direction,maintenanceYn,routeCode,routeName,serviceAreaCode,serviceAreaCode2,serviceAreaName,svarAddr,telNo,truckSaYn,경도,위도,상태
18,-,수면실|||||,부산,O,10,경부선,A00227,404,옥천만남의광장휴게소,충북 옥천군 옥천읍 중앙로 135,043-732-0081,X,127.5719062,36.30870506,정좌표
19,파스쿠찌 외 1,수유실|내고장특산물|수면실|||,서울,X,10,경부선,A00002,3,죽전(서울)휴게소,경기 용인시 죽전2동 866-2 ,031-262-3168,X,127.1045852,37.33253248,정좌표
20,롯데리아 외 3,수유실|수면실|샤워실|세탁실|내고장특산물|,서울,X,10,경부선,A00004,7,안성(서울)휴게소,경기 안성시 원곡면 산하리 372,031-611-5793,O,127.129457,37.06659942,정좌표
21,탐앤탐스 외 3,수유실|내고장특산물|약국|||,서울,X,10,경부선,A00033,15,천안삼거리(서울)휴게소,충남 천안시 동남구 삼룡동 173-1,041-551-2480,X,127.1736192,36.78717148,정좌표
22,엔제리너스 외 3,수유실|수면실||수면실||,서울,O,10,경부선,A00035,24,죽암(서울)휴게소,충북 청원군 현도면 죽전리 40,043-260-8035,X,127.4308706,36.49707239,정좌표
23,할리스 외 2,,서울,O,10,경부선,A00047,32,옥천(서울)휴게소,충북 옥천군 옥천읍 매화리 옥천동이로 242-34,043-731-8097,X,127.5975736,36.29790886,정좌표
24,할리스 외 2,,서울,X,10,경부선,A00048,38,황간(서울)휴게소,충북 영동군 황간면 회포리 114,043-742-7633,X,127.8531653,36.24949589,정좌표
25,탐앤탐스 외 1,,서울,O,10,경부선,A00050,11,입장거봉포도(서울)휴게소,충남 천안시 입장면 가산리 361-7,041-588-7868,O,127.1944466,36.94163968,정좌표
26,할리스 외 2,,서울,O,10,경부선,A00067,42,추풍령(서울)휴게소,경북 김천시 봉산면 광천리 737-1,054-439-3187,O,128.0030198,36.19978505,정좌표
27,탐앤탐스 외 1,,서울,O,10,경부선,A00069,46,칠곡(서울)휴게소,경북 칠곡군 왜관읍 아곡리 138,054-975-1883,O,128.4306121,36.01219632,정좌표
28,던킨도너츠 외 2,,서울,X,10,경부선,A00070,48,경산(서울)휴게소,경북 경산시 진량면 신상리 968-1,053-852-5243,O,128.810177,35.87890487,정좌표
29,던킨도너츠 외 1,,서울,X,10,경부선,A00077,52,건천(서울)휴게소,경북 경주시 건천읍 금척리 683-2,054-751-7401,X,129.1092019,35.83202502,정좌표
30,탐앤탐스 외 2,,서울,X,10,경부선,A00086,57,언양(서울)휴게소,울산광역시 울주군 언양읍 반곡리 898-9,052-263-6153,O,129.1415568,35.59800966,정좌표
31,탐앤탐스 외 1,,서울,O,10,경부선,A00102,28,신탄진(서울)휴게소,대전시 대덕구 상서동 236-1,042-934-2442,O,127.4179879,36.42750792,정좌표
32,엔제리너스 외 1,,서울,X,10,경부선,A00126,19,청주(서울)휴게소,충북 청원군 옥산면 장남리 284-16,043-237-1700,O,127.3489962,36.71665831,정좌표
33,할리스 외 1,,서울,X,10,경부선,A00132,62,양산(서울)휴게소,경남 양산시 동면 내송리 788,055-384-0144,X,129.0545067,35.32393813,정좌표
34,파스쿠찌,,서울,X,10,경부선,A00163,306,김천(서울)휴게소,경북 김천시 농소면 신촌리 728-1,054-433-1523,O,128.1621158,36.13095128,정좌표
35,드롭탑 외 2,,순천,X,10,경부선,A00269,537,선기(부산)졸음쉼터,경상북도 구미시 도량동 472-4 선기졸음쉼터,061-864-5007,O,128.3161806,36.13631132,정좌표
36,로띠번 외 1,수유실||||수면실|,논산,X,100,남해선,A00053,78,섬진강(순천)휴게소,전남 광양시 진월면 신아리 1192-1,061-772-7993,X,127.7703852,34.98471126,정좌표
37,CU 외 7,,부산,X,100,남해선,A00085,63,진영(부산)휴게소,경남 김해시 진영읍 우동리 345-1,055-334-8700,X,128.7162227,35.27819184,정좌표
38,할리스,,부산,X,100,남해선,A00097,73,사천(부산)휴게소,경남 사천시 곤양면 묵곡리 619,055-854-3134,X,127.991067,35.08386976,정좌표
39,던킨도너츠 외1,,부산,X,100,남해선,A00185,347,진주(부산)휴게소,경남 진주시 호탄동 382,055-759-3205,X,128.1223632,35.15973115,정좌표
40,탐앤탐스 외 4,,부산,X,100,남해선,A00186,344,함안(부산)휴게소,경남 함안군 군북면 유현리 993-6,055-582-2191,O,128.3467253,35.29373934,정좌표
41,할리스 외 1,,부산,X,100,남해선,A00224,401,보성녹차(영암)휴게소,전남 보성군 미력면 화방리 산 196-7,070-4325-8801,X,127.1275827,34.81362365,정좌표
42,로띠번,,순천,X,100,남해선,A00054,77,섬진강(부산)휴게소,전남 광양시 진월면 신아리 1192-1,061-772-7986,X,127.7703852,34.98471126,정좌표
43,던킨도너츠 외 4,,순천,O,100,남해선,A00084,64,진영(순천)휴게소,경남 김해시 진영읍 우동리 68,055-342-3959,X,128.7205318,35.26774266,정좌표
44,로띠번,,순천,X,100,남해선,A00091,71,문산(순천)휴게소,경남 진주시 문산읍 소문리 969,055-761-2820,X,128.1517164,35.17113905,정좌표
45,할리스,수유실|샤워실|내고장특산물||수면실|,순천,X,100,남해선,A00096,74,사천(순천)휴게소,경남 사천시 곤양면 묵곡리 산 53-1,055-854-3547,X,128.0130708,35.07503754,정좌표
46,탐앤탐스 외 5,,순천,X,100,남해선,A00187,348,함안(순천)휴게소,경남 함안군 군북면 유현리 990-2,055-582-5470,X,128.3445419,35.29444944,정좌표
47,할리스 외 1,,순천,X,100,남해선,A00225,400,보성녹차(순천)휴게소,전남 보성군 겸백면 수남리 385-3,070-4325-8808,X,127.1824599,34.80881347,정좌표
48,드롭탑 외 1,,부산,X,101,남해선(영암순천),A00300,575,장흥정남진휴게소,전남 장흥군 부산면 호계리 산 211-1,061-864-5007,O,126.9303021,34.72020629,정좌표
49,드롭탑 외 1,,대구,X,120,"광주대구선,무안광주선",A00226,399,논공(옥포)휴게소,대구 달성군 논공읍 삼리 462-1,070-4304-0620,X,128.4024699,35.76627791,정좌표
50,드롭탑 외 1,,무안,X,120,"광주대구선,무안광주선",A00223,81,논공(고서)휴게소,대구광역시 달성군 논공읍 삼리 458-5,070-4304-0600,X,128.4018954,35.76679709,정좌표
51,탐앤탐스 외 1,수유실|수면실||수면실||,대구,X,121,무안광주선,A00155,269,함평나비(광주)휴게소,전남 함평군 엄다면 화양리 743-1,061-324-8840,X,126.5120257,35.03752699,정좌표
52,탐앤탐스 외 1,,무안,X,121,무안광주선,A00156,270,함평나비(무안)휴게소,전남 함평군 엄다면 성천리 398-1,061-324-8858,X,126.5085605,35.03777316,정좌표
53,할리스 외 2,수유실|내고장특산물|||수면실|,대구,X,122,광주대구선,A00058,87,지리산(대구)휴게소,전북 남원시 아영면 아곡리 446-6,063-636-7191,X,127.5677286,35.48137293,정좌표
54,할리스 외 1,수유실|내고장특산물||수면실||,대구,X,122,광주대구선,A00073,83,거창(대구)휴게소,경남 거창군 가조면 도리 산181,055-943-9534,X,128.0573886,35.70842873,정좌표
55,로띠번,수유실|내고장특산물|수면실|||,대구,X,122,광주대구선,A00237,418,강천산(대구)휴게소,전라북도 순창군 순창읍 88올림픽고속도로 22,063-653-3050,X,127.1513873,35.37484947,정좌표
56,할리스 외 2,수유실|||수면실||,무안,X,122,광주대구선,A00059,88,지리산(광주)휴게소,전북 남원시 아영면 아곡리 444-1,063-636-7195,X,127.5675206,35.48410733,정좌표
57,할리스 외 1,,무안,X,122,광주대구선,A00074,84,거창(광주)휴게소,경남 거창군 가조면 도리 454-8,055-943-0992,X,128.0569896,35.70614183,정좌표
58,로띠번,수유실|내고장특산물|수면실||수면실|,무안,X,122,광주대구선,A00238,436,강천산(광주)휴게소,전북 순창군 순창읍 광주대구고속도로 27,063-653-4033,X,127.1063326,35.36532815,정좌표
59,할리스 외 3,수유실|수면실||||,목포,X,150,서해안선,A00015,93,화성(목포)휴게소,경기도 화성군 팔탄면 덕천리 산 102-1,031-353-8140,X,126.8793139,37.14291388,정좌표
60,투썸플레이스 외 7,수유실|내고장특산물|약국|수면실||,목포,O,150,서해안선,A00106,341,행담도휴게소,충남 당진군 신평면 매산리 513,041-358-0702,X,126.8069758,36.94512176,정좌표
61,드롭탑,,목포,O,150,서해안선,A00109,103,대천(목포)휴게소,충남 보령시 주교면 주교리 933-5,041-931-6901,X,126.5568288,36.37211552,정좌표
62,롯데리아 외 2,,목포,O,150,서해안선,A00117,98,서산(목포)휴게소,충청남도 서산시 해미면 삼송리 119,041-688-8814,X,126.5654281,36.74112154,정좌표
63,탐앤탐스 외 1,수유실|샤워실|||수면실|,목포,X,150,서해안선,A00119,108,군산(목포)휴게소,전라북도 군산시 성산면 산곡리 산1,063-453-0402,X,126.8149004,35.98093752,정좌표
64,드롭탑,,목포,O,150,서해안선,A00123,110,고창고인돌(목포)휴게소,전북 고창군 신림면 벽송리 557-10,063-561-6313,X,126.6739203,35.46815396,정좌표
65,카페베네 외 2,수유실|샤워실||||,목포,X,150,서해안선,A00124,117,함평천지(목포)휴게소,전남 함평군 함평읍 장교리 산112-13,061-323-3751,X,126.4781716,35.06971395,정좌표
66,탐앤탐스 외 1,,목포,X,150,서해안선,A00139,254,홍성(목포)휴게소,충남 홍성군 은하면 금국리 292-3,041-642-1151,X,126.5799362,36.55206917,정좌표
67,할리스 외 3,수유실|||||,목포,X,150,서해안선,A00151,262,서천(목포)휴게소,충남 서천군 비인면 서해안고속도로 169,041-952-5757,X,126.6264495,36.12954872,정좌표
68,할리스 외 1,수면실|샤워실|세탁실|수면실||,목포,X,150,서해안선,A00306,586,부안고려청자(목포)휴게소,전북 부안군 주산면 서해안고속도로 103,063-776-8003,O,126.732158,35.67178836,정좌표
69,할리스 외 4,,시흥,X,150,서해안선,A00014,92,화성(서울)휴게소,경기도 화성군 팔탄면 덕천리 산 101-2,031-353-8143,X,126.8812312,37.14306778,정좌표
70,투썸플레이스 외 7,,시흥,X,150,서해안선,A00106,341,행담도휴게소,충남 당진군 신평면 매산리 513,041-358-0702,X,126.8069758,36.94512176,정좌표
71,드롭탑,,시흥,O,150,서해안선,A00108,102,대천(서울)휴게소,충남 보령시 주교면 주교리 897-1,041-931-6801,X,126.55811,36.37439752,정좌표
72,탐앤탐스 외 1,,시흥,O,150,서해안선,A00116,100,서산(서울)휴게소,충청남도 서산시 해미면 삼송리 183-3,041-688-7714,X,126.5644977,36.73241597,정좌표
73,카페베네 외 2,수유실|수면실|샤워실|세탁실|내고장특산물|,시흥,X,150,서해안선,A00118,106,군산(서울)휴게소,전북 군산시 나포면 서포리 406-6,063-453-2818,O,126.7964989,36.01863089,정좌표
74,드롭탑,수유실|내고장특산물||||,시흥,X,150,서해안선,A00122,112,고창고인돌(서울)휴게소,전북 고창군 고창읍 신월리 263-18,063-561-6323,O,126.672764,35.4607753,정좌표
75,탐앤탐스 외 2,,시흥,X,150,서해안선,A00125,115,함평천지(서울)휴게소,전라남도 함평군 손불면 죽암리 29-1,061-323-3641,X,126.4823008,35.12957987,정좌표
76,탐앤탐스 외 1,,시흥,X,150,서해안선,A00138,253,홍성(서울)휴게소,충남 홍성군 은하면 금국리 292-4,041-642-1172,X,126.5815102,36.55317658,정좌표
77,드롭탑 외 1,,시흥,X,150,서해안선,A00150,261,서천(서울)휴게소,충남 서천군 비인면 성산리 22-4,041-952-9700,X,126.628419,36.13220949,정좌표
78,탐앤탐스 외 1,,시흥,X,150,서해안선,A00178,326,목감(서울)휴게소,경기 시흥시 목감동 125,031-411-0590,X,126.8679898,37.38988583,정좌표
79,할리스 외 1,,시흥,X,150,서해안선,A00305,585,부안고려청자(서울)휴게소,전북 부안군 주산면 서해안고속도로 106,063-776-7002,O,126.734413,35.67169002,정좌표
80,던킨 외 1,수유실|수면실|샤워실|세탁실|수면실|,울산,X,160,울산선,A00270,538,울산행복드림쉼터,울산광역시 울주군 언양읍 언양로 429,052-933-5242,O,129.167534,35.54980949,정좌표
81,-,,익산,X,205,완주장수선,A00161,285,진안마이산(익산)휴게소,전북 진안군 진안읍 단양리 171-110,063-432-1380,X,127.4263685,35.77698946,정좌표
82,뚜레쥬르 외 2,,포항,X,205,완주장수선,A00162,286,진안마이산(장수)휴게소,전북 진안군 진안읍 단양리 333-75,063-432-6350,X,127.4249556,35.77481901,정좌표
83,탐앤탐스 외 2,,익산,X,207,대구포항선,A00141,257,영천(대구)휴게소,경북 영천시 임고면 금대리 99,054-338-0037,O,129.0465777,36.05185693,정좌표
84,엔제리너스 외 2,,익산,X,207,대구포항선,A00142,293,청통(대구)휴게소,경북 영천시 청통면 우천리 산 160-4,054-337-5009,X,128.8585595,35.99355845,정좌표
85,탐앤탐스 외 2,,포항,X,207,대구포항선,A00140,258,영천(포항)휴게소,경북 영천시 임고면 금대리 103,054-338-0062,O,129.0453944,36.0512771,정좌표
86,엔제리너스 외 2,,포항,X,207,대구포항선,A00143,294,와촌(포항)휴게소,경북 경산시 와촌면 강학리 산71-1,053-853-1002,X,128.7756273,35.95217198,정좌표
87,로띠번 외 2,,논산,X,251,호남선,A00044,118,여산(천안)휴게소,전북 익산시 여산면 호산리 210-12,063-836-5168,X,127.104872,36.04908577,정좌표
88,탐앤탐스 외 3,,논산,X,251,호남선,A00051,122,정읍녹두장군(천안)휴게소,전북 정읍시 북면 남산리 550-14,063-532-2373,X,126.8644376,35.59993658,정좌표
89,엔제리너스 외 1,수유실|수면실|샤워실|내고장특산물|수면실|,논산,X,251,호남선,A00056,130,곡성(천안)휴게소,전남 곡성군 겸면 가정리 347,061-362-8300,X,127.1535081,35.25932297,정좌표
90,탐앤탐스 외 4,수유실|샤워실|내고장특산물|||,논산,X,251,호남선,A00060,126,백양사(천안)휴게소,전라남도 장성군 북일면 호남고속도로 108,061-394-5177,X,126.8073672,35.39264389,정좌표
91,탐앤탐스 외 2,수유실||수면실||수면실|,논산,X,251,호남선,A00062,135,주암(천안)휴게소,전남 순천시 주암면 고산리 산 57-4,061-754-2432,X,127.2651411,35.07663813,정좌표
92,드롭탑 외 2,,논산,X,251,호남선,A00190,358,이서(천안)휴게소,서울 송파구 송파동 185-5,063-236-2592,O,127.1153546,37.4991084,정좌표
93,로띠번 외 2,,순천,X,251,호남선,A00045,119,여산(순천)휴게소,전북 익산시 여산면 호산리 224,063-836-5280,O,127.102336,36.04867314,정좌표
94,탐앤탐스 외 4,,순천,X,251,호남선,A00052,123,정읍녹두장군(순천)휴게소,전북 정읍시 북면 남산리 산 19-1,063-532-0510,X,126.8622808,35.60169601,정좌표
95,탐앤탐스 외 2,,순천,X,251,호남선,A00055,134,주암(순천)휴게소,전남 순천시 주암면 고산리 252-2,061-754-4980,X,127.2648802,35.07602941,정좌표
96,던킨도너츠 외 3,수유실|샤워실|내고장특산물||수면실|,순천,X,251,호남선,A00061,127,백양사(순천)휴게소,전라남도 장성군 북이면 호남고속도로 107,061-394-9990,X,126.8054084,35.39474587,정좌표
97,엔제리너스 외 2,,순천,X,251,호남선,A00063,131,곡성(순천)휴게소,전남 곡성군 겸면 가정리 산 96-6,061-363-2766,X,127.1503398,35.25857342,정좌표
98,로띠번 외 1,,순천,X,251,호남선,A00064,138,순천(순천)휴게소,전남 순천시 서면 비월리 산 169-2,061-755-4982,X,127.4444245,35.00930523,정좌표
99,드롭탑 외 2,,순천,X,251,호남선,A00191,355,이서(순천)휴게소,서울 송파구 송파동 185-5,063-227-4114,O,127.1153546,37.4991084,정좌표
100,탐앤탐스 외 2,,광양,X,270,순천완주선,A00193,361,오수(순천)휴게소,전북 임실군 오수면 오산리 675-18,063-644-6116,O,127.3103276,35.5409639,정좌표
101,던킨도너츠 외 1,수유실||수면실||수면실|,광양,X,270,순천완주선,A00196,364,황전(순천)휴게소,전남 순천시 황전면 선변리 560-7,061-782-1135,X,127.4547562,35.14845295,정좌표
102,탐앤탐스 외 2,수유실|수면실|샤워실|세탁실|수면실|,전주,X,270,순천완주선,A00194,360,오수(완주)휴게소,전북 임실군 순천완주고속도로 74,063-644-5115,O,127.3116159,35.54024584,정좌표
103,던킨도너츠 외 2,,전주,X,270,순천완주선,A00197,365,황전(완주)휴게소,전남 순천시 황전면 선변리 595-7,061-782-1154,X,127.4546742,35.15345796,정좌표
104,탐앤탐스 외 3,수유실|샤워실|세탁실|내고장특산물||,상주,X,300,당진영덕선,A00159,280,화서(영덕)휴게소,경북 상주시 화서면 상용리 408,054-531-1982,X,127.9242775,36.44399388,정좌표
105,공차 외 2,수유실|내고장특산물|||수면실|,상주,X,300,당진영덕선,A00171,324,공주(당진)휴게소,충남 공주시 의당면 청룡리 65-16,041-854-0050,X,127.1669977,36.49855272,정좌표
106,할리스 외 2,수유실|수면실|샤워실|세탁실|내고장특산물|,상주,X,300,당진영덕선,A00175,316,예산(당진)휴게소,충남 예산군 신양면 서계양리 672-3,041-335-0020,O,126.8441116,36.62067358,정좌표
107,엔제리너스,수유실|||||,상주,X,300,당진영덕선,A00253,495,의성(청주)휴게소,경북 의성군 안계면 새못안길 45-49,054-862-9076,X,128.444124,36.41083859,정좌표
108,드롭탑 외 1,,상주,X,300,당진영덕선,A00255,503,청송(청주)휴게소,경북 청송군 파천면 중평병부길 203-92,054-873-5911,X,129.0115123,36.45684693,정좌표
109,탐앤탐스 외 1,수유실|샤워실|내고장특산물|수면실||,청원,X,300,당진영덕선,A00157,279,속리산(청주)휴게소,충북 보은군 마로면 적암리 180,043-544-1466,X,127.8693548,36.44804863,정좌표
110,공차 외 2,수유실|내고장특산물||수면실||,청원,X,300,당진영덕선,A00170,318,공주(대전)휴게소,충남 공주시 장기면 송선리 320-3,041-854-6060,X,129.4934946,35.89315697,정좌표
111,파스쿠찌 외 2,,청원,X,300,당진영덕선,A00174,314,예산(대전)휴게소,충남 예산군 신양면 서계양리 661-1,041-334-0094,O,126.8407111,36.62269078,정좌표
112,엔제리너스,,청원,X,300,당진영덕선,A00254,496,의성(영덕)휴게소,경북 의성군 안계면 새못안길 45-47,054-862-9252,X,128.4473692,36.40977725,정좌표
113,드롭탑 외 1,,청원,X,300,당진영덕선,A00256,504,청송(영덕)휴게소,경북 청송군 파천면 중평병부길 203-115,054-873-9102,X,129.0138212,36.45549824,정좌표
114,-,,통영,X,350,"통영대전선,중부선",A00130,162,함양(통영)휴게소,경남 함양군 지곡면 보산리 산 40-1,055-963-6717,X,127.7585344,35.5511792,정좌표
115,-,,하남,X,350,"통영대전선,중부선",A00129,161,함양(하남)휴게소,경남 함양군 지곡면 보산리 278-6,055-963-8001,X,127.7604286,35.55166572,정좌표
116,엔제리너스 외 1,,통영,X,351,통영대전선,A00099,166,산청(통영)휴게소,경남 산청군 단성면 방목리 산 68-7,055-973-9036,X,127.9368926,35.33292889,정좌표
117,탐앤탐스 외 1,수유실|내고장특산물|수면실|||,통영,X,351,통영대전선,A00105,154,금산인삼랜드(통영)휴게소,충남 금산군 군북면 외부리 718,041-751-2892,X,127.496628,36.15265987,정좌표
118,탐앤탐스,,통영,X,351,통영대전선,A00115,158,덕유산(통영)휴게소,전라북도 장수군 계북면 통영대전고속도로 147,063-353-5100,X,127.6428527,35.81254344,정좌표
119,엔제리너스 외 3,,통영,X,351,통영대전선,A00153,288,고성공룡나라(통영)휴게소,경남 고성군 대가면 송계리 447,055-674-7028,O,128.2629816,35.05190216,정좌표
120,엔제리너스 외 1,,하남,X,351,통영대전선,A00098,165,산청(대전)휴게소,경남 산청군 단성면 방목리 산71-7,055-973-5970,X,127.9389377,35.33192519,정좌표
121,던킨도너츠 외 1,,하남,X,351,통영대전선,A00104,153,금산인삼랜드(대전)휴게소,충남 금산군 군북면 대암길 34-30,041-754-9200,X,127.4977682,36.15456234,정좌표
122,탐앤탐스 외 1,,하남,X,351,통영대전선,A00114,157,덕유산(대전)휴게소,전라북도 무주군 안성면 공진리 471,063-353-4200,X,127.646375,35.8160316,정좌표
123,엔제리너스 외 3,수유실|수면실||||,하남,X,351,통영대전선,A00152,289,고성공룡나라(대전)휴게소,경남 고성군 대가면 신전리 67,055-674-0494,X,128.251304,35.05712268,정좌표
124,로띠번,,청원,X,352,중부선,A00231,409,마장휴게소,경기 이천시 마장면 목리 산 13-32,043-223-2820,X,127.4076752,37.26371242,정좌표
125,탐앤탐스,,통영,X,352,중부선,A00006,139,하남드림휴게소,경기 하남시 중부고속도로 117,031-791-4200,X,127.2065095,37.53031486,정좌표
126,드롭탑 외 1,,통영,X,352,중부선,A00008,144,이천(남이)휴게소,경기 이천시 마장면 목리 142,031-637-0987,X,127.4038241,37.2646053,정좌표
127,할리스 외 2,,통영,X,352,중부선,A00039,150,오창(남이)휴게소,충북 청원군 오창면 화산리 395-15,043-217-1477,X,128.352852,35.05486176,정좌표
128,탐앤탐스,,통영,X,352,중부선,A00041,146,음성(남이)휴게소,충북 음성군 삼성면 용성리 산 44,043-878-6410,X,127.4799765,37.02067472,정좌표
129,할리스외5,,통영,X,352,중부선,A00231,409,마장휴게소,경기 이천시 마장면 목리 산 13-32,031-630-0001,X,127.4076752,37.26371242,정좌표
130,탐앤탐스 외 1,,하남,X,352,중부선,A00007,141,이천(하남)휴게소,경기 이천시 신둔면 용면리 산 83-1,031-638-1117,X,127.3775508,37.29380252,정좌표
131,로띠번 외 2,수유실||수면실|||,하남,X,352,중부선,A00038,149,오창(하남)휴게소,충북 청주시 청원구 오창읍 화산리 396-10,043-217-8303,X,127.4819376,36.75661861,정좌표
132,엔제리너스 외 2,,하남,X,352,중부선,A00040,145,음성(하남)휴게소,충북 음성군 삼성면 양덕리 100-1,043-878-6403,X,127.490564,37.04121677,정좌표
133,로띠번,,상주,X,400,평택제천선,A00232,413,금왕(평택)휴게소,충북 음성군 금왕읍 용계리 190-3,043-715-2820,X,127.5895003,36.97033908,정좌표
134,롯데리아 외 2,,제천,X,400,평택제천선,A00169,333,안성맞춤(제천)휴게소,경기 안성시 서운면 신능리 51-11,031-674-4406,X,127.2767463,36.96880966,정좌표
135,코바코 외 2,,제천,X,400,평택제천선,A00233,414,금왕(제천)휴게소,충북 음성군 금왕읍 용계리 평택제천고속도로 70,043-881-0001,X,127.5907123,36.96898059,정좌표
136,던킨도너츠 외 1,,제천,X,400,평택제천선,A00240,419,천등산(제천)휴게소,충북 충주시 산척면 평택제천고속도로 106,043-844-2991,X,127.9414624,37.06156502,정좌표
137,할리스 외 2,수유실|||수면실||,평택,X,400,평택제천선,A00165,331,안성맞춤(평택)휴게소,경기 안성시 서운면 신능리 51-16,031-673-3822,X,127.2759752,36.96918597,정좌표
138,던킨도너츠 외 1,,평택,X,400,평택제천선,A00239,420,천등산(평택)휴게소,충북 충주시 산척면 평택제천고속도로 109,043-844-2930,X,127.9879716,37.07653574,정좌표
139,할리스 외 2,수유실|수면실|샤워실|세탁실|약국|,평택,X,400,평택제천선,A00299,572,평택휴게소,경기 평택시 청북읍 평택제천고속도로 6,031-683-4800,O,126.9434037,37.04492158,정좌표
140,엔제리너스 외 3,,대구,O,450,중부내륙선,A00094,179,칠서(양평)휴게소,경남 함안군 칠서면 계내리 35,055-587-9656,O,128.4964388,35.37097043,정좌표
141,엔제리너스 외 4,수유실|내고장특산물|수면실||수면실|,마산,X,450,중부내륙선,A00120,173,선산(양평)휴게소,경북 구미시 옥성면 대원리 31-3,054-482-6031,X,128.2474437,36.27893044,정좌표
142,탐앤탐스 외 3,,마산,X,450,중부내륙선,A00127,169,충주(양평)휴게소,충북 충주시 중앙탑면 중부내륙고속도록 230-1,043-857-9339,O,127.8585057,37.02566644,정좌표
143,던킨도너츠 외 3,,마산,X,450,중부내륙선,A00144,295,괴산(양평)휴게소,충북 괴산군 장연면 오가리 293-2,043-832-7966,X,127.959964,36.83231539,정좌표
144,할리스 외 4,,마산,O,450,중부내륙선,A00146,268,문경(양평)휴게소,경북 문경시 유곡동 458,054-554-1655,O,128.152759,36.61986279,정좌표
145,할리스 외 3,,마산,X,450,중부내륙선,A00160,278,남성주참외(양평)휴게소,경북 성주군 용암면 본리 428,054-933-7105,O,128.3042472,35.83504678,정좌표
146,탐앤탐스 외 1,수유실|수면실||수면실||,마산,X,450,중부내륙선,A00188,350,서여주(양평)휴게소,서울 강남구 논현동 165,031-884-9714,X,127.0236628,37.50715874,정좌표
147,코바코 외 2,,마산,X,450,중부내륙선,A00222,396,성주(창원)휴게소,경북 성주군 초전면 용봉리 896,054-932-0800,O,128.2600895,36.01048786,정좌표
